cano_smiles,gene_name,stand_value
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,AKT3,6.4
Brc1ccc2NC(=O)\C(=C\3/SC(=S)NC3=O)\c2c1,AKT3,5.0
C1C[C@H](CN1)Oc2cncc(\C=C\c3ccncc3)c2,AKT3,5.0
CC(=O)N[C@@H]1CCN(C1)c2nc3NC=C(C(=O)O)C(=O)c3c(C)c2F,AKT3,5.0
CC(C)OC1=NNC(=O)/C/1=C/c2c[nH]c3ccccc23,AKT3,5.0
CC(C)Oc1ccc(cc1Cl)c2noc(n2)c3ccc(N[C@H]4CC[C@H](C4)C(=O)O)cc3,AKT3,5.0
CC1(C)CC(=O)C2=C(C1)Nc3cc(Cl)ccc3S2,AKT3,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(cc5)C(=O)O,AKT3,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5cccc(Br)c5,AKT3,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccccc5,AKT3,5.0
CC1=NN(C(=O)/C/1=C\c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(Cl)c(Cl)c5,AKT3,5.3
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(N4CC[C@@H](N)C4)c(F)c3N12,AKT3,5.0
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CC[C@@H](N)C4,AKT3,5.0
CCCOc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3,AKT3,5.0
CCN(CC)CCNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,AKT3,5.0
CCOC(=O)C1=C(N)N2C(=O)\C(=C\c3cccs3)\SC2=C(C1c4cccs4)C(=O)N,AKT3,5.0
CCOC(=O)C1=C2S\C(=C\c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N,AKT3,5.0
CCOc1ccccc1\C=N\NC(=O)c2nnn(c2N3CCCC3)c4nonc4N,AKT3,5.0
CC[C@@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,AKT3,5.0
CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,AKT3,5.0
CN(C)CC(=O)N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,AKT3,5.4
CN(CCCNC(=O)Nc1cc(cc(c1)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C)CCCNC(=O)Nc2cc(cc(c2)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C,AKT3,6.4
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,AKT3,5.0
CN1C(=NC(=C(C1=O)c2cccc(C)c2)c3ccncc3)NC[C@@H](N)Cc4ccccc4,AKT3,5.0
CN1CCC[C@H]1COc2cncc(CCc3ccccc3)c2,AKT3,5.0
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2,AKT3,5.0
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,AKT3,5.0
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,AKT3,5.0
CN1CC[C@H]([C@@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,AKT3,5.0
CN1CC[C@H]1COc2cncc(CCc3ccncc3)c2,AKT3,5.0
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,AKT3,5.0
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4OCOc4c3,AKT3,5.1
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4sc(C)nc4c3,AKT3,5.0
CN[C@H]1C[C@@H]2O[C@@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,AKT3,8.2
COCCO[C@@H]1CC[C@H](CC1)n2nc(c3ccc(Nc4oc5c(C)cc(C)cc5n4)cc3)c6c(N)ncnc26,AKT3,5.0
COCCO[C@@H]1CC[C@H](CC1)n2nc(c3ccc(Nc4oc5c(Cl)cc(C)cc5n4)cc3)c6c(N)ncnc26,AKT3,5.0
COCc1nnn(c1C(=O)N\N=C(/C)\c2ccc(O)cc2O)c3nonc3N,AKT3,6.2
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,AKT3,5.0
COc1cc(Nc2ncnc3ccc(cc23)c4ccc(CN5C[C@@H]6C(CO)[C@@H]6C5)cc4)ccc1Oc7ccccc7,AKT3,5.0
COc1cc(\C=C(/C#N)\c2n[nH]c(N)c2C#N)ccc1O,AKT3,5.0
COc1cc(\C=C(/C#N)\c2nc3cc(C)ccc3[nH]2)c(Br)cc1O,AKT3,5.0
COc1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)c(Br)cc1O,AKT3,5.0
COc1cc(\C=C/2\SC(=S)NC2=O)ccc1O,AKT3,5.0
COc1cc(\C=C\2/SC(=O)NC2=O)ccc1O,AKT3,5.0
COc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)ccc1O,AKT3,5.0
COc1ccc(Nc2nccc(NC3=C(N[C@H](C)C(C)(C)C)C(=O)C3=O)n2)cc1OC,AKT3,5.0
COc1ccc(\C=C/2\C(=O)ON=C2c3ccc(Br)cc3)cc1OC,AKT3,5.0
COc1ccc(\C=C/2\S\C(=N\c3ccccc3)\NC2=O)cc1O,AKT3,5.0
COc1ccc(\C=C/2\S\C(=N\c3ccccc3)\NC2=O)cc1OC,AKT3,5.0
COc1ccc(\C=N\Nc2ncnc3c4ccccc4[nH]c23)cc1OC,AKT3,5.0
COc1ccc2NC(=O)\C(=C/c3c[nH]cn3)\c2c1,AKT3,5.0
COc1cccc(\C=C/2\S\C(=N/c3ccccc3)\NC2=O)c1,AKT3,5.0
COc1cccc(c1)[C@@H](C)NC(=O)N2CCC(=CC2)c3c[nH]c4ncccc34,AKT3,6.2
COc1cccc(c1)[C@@H](C)NC(=O)c2cc(C)c(s2)c3ccc4[nH]nc(C)c4c3,AKT3,5.0
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(c(F)c2)c3ccncc3,AKT3,5.4
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3,AKT3,5.0
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3C,AKT3,5.7
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncn3,AKT3,5.0
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2NCCCN)c3ccncc3,AKT3,5.5
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2OC)c3ccncc3F,AKT3,5.1
COc1cccc(c1)[C@@H](C)NC(=O)c2cnc(s2)c3ccncc3,AKT3,5.1
