cano_smiles,gene_name,stand_value
Brc1ccc2NC(=O)\C(=C\3/SC(=S)NC3=O)\c2c1,AXL,5.7
CC(C)OC1=NNC(=O)/C/1=C/c2c[nH]c3ccccc23,AXL,6.2
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(cc5)C(=O)O,AXL,6.1
CCOC(=O)C1=C2S\C(=C\c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N,AXL,5.7
CC[C@@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,AXL,5.7
CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,AXL,5.7
CN(C)CC(=O)N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,AXL,5.7
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,AXL,5.7
CN1C(=NC(=C(C1=O)c2cccc(C)c2)c3ccncc3)NC[C@@H](N)Cc4ccccc4,AXL,5.7
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,AXL,6.7
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,AXL,7.6
CN1CC[C@H]([C@@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,AXL,6
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,AXL,6.6
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4OCOc4c3,AXL,6
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4sc(C)nc4c3,AXL,5.7
COCCO[C@@H]1CC[C@H](CC1)n2nc(c3ccc(Nc4oc5c(C)cc(C)cc5n4)cc3)c6c(N)ncnc26,AXL,8.1
COc1cc(\C=C(/C#N)\c2nc3cc(C)ccc3[nH]2)c(Br)cc1O,AXL,6.4
COc1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)c(Br)cc1O,AXL,6.1
COc1cc(\C=C/2\SC(=S)NC2=O)ccc1O,AXL,5.7
COc1cc(\C=C\2/SC(=O)NC2=O)ccc1O,AXL,5.7
COc1cc(\C=C\2/S\C(=N/c3ccccc3)\NC2=O)ccc1O,AXL,5.7
COc1ccc(\C=C/2\C(=O)ON=C2c3ccc(Br)cc3)cc1OC,AXL,5.7
COc1ccc(\C=C/2\S\C(=N\c3ccccc3)\NC2=O)cc1O,AXL,5.7
COc1ccc(\C=N\Nc2ncnc3c4ccccc4[nH]c23)cc1OC,AXL,6.5
COc1ccc2NC(=O)\C(=C/c3c[nH]cn3)\c2c1,AXL,6.2
COc1cccc(\C=C/2\S\C(=N/c3ccccc3)\NC2=O)c1,AXL,5.7
CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,AXL,5.7
C[C@@H](N)C1CCC(CC1)C(=O)Nc2ccnc3[nH]ccc23,AXL,5.7
C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2,AXL,5.7
C[C@@H](NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,AXL,5.7
C[C@@H](NC1=C(N(C(=O)C)c2ccncc2)C(=O)C1=O)C(C)(C)C,AXL,5.7
C[C@@H](NC1=C(Nc2ccnc(Nc3cccc(C)c3)n2)C(=O)C1=O)C(C)(C)C,AXL,6.5
C[C@@H](NC1=C(Nc2ccncc2)C(=O)C1=O)C(C)(C)C,AXL,5.7
C[C@@H](Nc1nccc(n1)c2c(nc3occn23)c4ccc(F)cc4)c5ccccc5,AXL,5.7
C[C@@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4,AXL,8.9
