cano_smiles,gene_name,stand_value
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,CDK5,5.1
Brc1ccc2NC(=O)\C(=C\3/SC(=S)NC3=O)\c2c1,CDK5,5.0
C1C[C@H](CN1)Oc2cncc(\C=C\c3ccncc3)c2,CDK5,5.0
CC(=O)N[C@@H]1CCN(C1)c2nc3NC=C(C(=O)O)C(=O)c3c(C)c2F,CDK5,5.0
CC(C)CN[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,7.2
CC(C)NC1=NNC(=O)/C/1=C\c2cc3ccccc3[nH]2,CDK5,6
CC(C)OC1=NNC(=O)/C/1=C/c2c[nH]c3ccccc23,CDK5,5.0
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1,CDK5,7.3
CC(C)Oc1ccc(cc1Cl)c2noc(n2)c3ccc(N[C@H]4CC[C@H](C4)C(=O)O)cc3,CDK5,5.0
CC1(C)CC(=O)C2=C(C1)Nc3cc(Cl)ccc3S2,CDK5,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(cc5)C(=O)O,CDK5,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5cccc(Br)c5,CDK5,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccccc5,CDK5,5.0
CC1=NN(C(=O)/C/1=C\c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(Cl)c(Cl)c5,CDK5,5.2
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(N4CC[C@@H](N)C4)c(F)c3N12,CDK5,5.0
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CC[C@@H](N)C4,CDK5,5.0
CCCOc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3,CDK5,5.3
CCCOc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3F,CDK5,5.5
CCN(CC)CCNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3,CDK5,5.0
CCNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,8.2
CCOC(=O)C1=C(N)N2C(=O)\C(=C\c3cccs3)\SC2=C(C1c4cccs4)C(=O)N,CDK5,5.1
CCOC(=O)C1=C2S\C(=C\c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N,CDK5,5.0
CCOc1ccc(\C=C/2\SC(=N)NC2=O)c(O)c1,CDK5,7.2
CCOc1ccccc1\C=N\NC(=O)c2nnn(c2N3CCCC3)c4nonc4N,CDK5,5.0
CC[C@@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,CDK5,6.7
CC[C@@H]1C[C@@H](C[C@@H]1c2ncc3cnc4[nH]ccc4n23)NS(=O)(=O)C5CC5,CDK5,5.5
CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,CDK5,5.0
CCn1c(nc2cncc(C(=O)N3CC[C@H](N)C3)c12)c4nonc4N,CDK5,5.5
CN(C)CC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,7.9
CN(C)CC(=O)N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,CDK5,5.0
CN(CCCNC(=O)Nc1cc(cc(c1)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C)CCCNC(=O)Nc2cc(cc(c2)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C,CDK5,5.8
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,CDK5,5.1
CN1C(=NC(=C(C1=O)c2cccc(C)c2)c3ccncc3)NC[C@@H](N)Cc4ccccc4,CDK5,5.0
CN1CCC[C@H]1COc2cncc(CCc3ccccc3)c2,CDK5,5.0
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2,CDK5,5.2
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,CDK5,5.5
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,CDK5,6.5
CN1CC[C@H]([C@@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,CDK5,7.6
CN1CC[C@H]1COc2cncc(CCc3ccncc3)c2,CDK5,5.2
CNC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,8.2
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,CDK5,5.0
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4OCOc4c3,CDK5,5.0
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4sc(C)nc4c3,CDK5,5.0
CNCC(=O)N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,CDK5,8.2
CN[C@H]1C[C@@H]2O[C@@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,CDK5,8.4
COCCO[C@@H]1CC[C@H](CC1)n2nc(c3ccc(Nc4oc5c(C)cc(C)cc5n4)cc3)c6c(N)ncnc26,CDK5,5.3
COCCO[C@@H]1CC[C@H](CC1)n2nc(c3ccc(Nc4oc5c(Cl)cc(C)cc5n4)cc3)c6c(N)ncnc26,CDK5,5.6
COCc1nnn(c1C(=O)N\N=C(/C)\c2ccc(O)cc2O)c3nonc3N,CDK5,5.2
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,CDK5,5.9
COc1cc(Nc2ncnc3ccc(cc23)c4ccc(CN5C[C@@H]6C(CO)[C@@H]6C5)cc4)ccc1Oc7ccccc7,CDK5,5.0
COc1cc(\C=C(/C#N)\c2n[nH]c(N)c2C#N)ccc1O,CDK5,5.6
COc1cc(\C=C(/C#N)\c2nc3cc(C)ccc3[nH]2)c(Br)cc1O,CDK5,5.0
COc1cc(\C=C(/C#N)\c2nc3ccccc3[nH]2)c(Br)cc1O,CDK5,5.0
COc1cc(\C=C/2\SC(=S)NC2=O)ccc1O,CDK5,5.0
