cano_smiles,gene_name,stand_value
Brc1ccc(\C=C\C(=O)Nc2cccc3cnccc23)cc1,LIMK1,5.5
Brc1ccc(\C=C\CNCCNS(=O)(=O)c2cccc3cnccc23)cc1,LIMK1,6.1
Brc1ccc2NC(=O)\C(=C\3/SC(=S)NC3=O)\c2c1,LIMK1,5.4
C1C[C@H](CN1)Oc2cncc(\C=C\c3ccncc3)c2,LIMK1,5.0
CC(=O)N[C@@H]1CCN(C1)c2nc3NC=C(C(=O)O)C(=O)c3c(C)c2F,LIMK1,5.0
CC(C)NC1=NNC(=O)/C/1=C\c2cc3ccccc3[nH]2,LIMK1,5.9
CC(C)OC1=NNC(=O)/C/1=C/c2c[nH]c3ccccc23,LIMK1,5.6
CC1(C)CC(=O)C2=C(C1)Nc3cc(Cl)ccc3S2,LIMK1,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(cc5)C(=O)O,LIMK1,5.6
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5cccc(Br)c5,LIMK1,5.0
CC1=NN(C(=O)/C/1=C/c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccccc5,LIMK1,5.0
CC1=NN(C(=O)/C/1=C\c2c(C)c(C#N)c3nc4ccccc4n3c2O)c5ccc(Cl)c(Cl)c5,LIMK1,5.0
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(N4CC[C@@H](N)C4)c(F)c3N12,LIMK1,5.0
CC1CSC2=C(C(=O)O)C(=O)c3cc(F)c(cc3N12)N4CC[C@@H](N)C4,LIMK1,5.0
CCOC(=O)C1=C(N)N2C(=O)\C(=C\c3cccs3)\SC2=C(C1c4cccs4)C(=O)N,LIMK1,5.0
CCOC(=O)C1=C2S\C(=C\c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N,LIMK1,6.7
CCOc1ccc(\C=C/2\SC(=N)NC2=O)c(O)c1,LIMK1,5.5
CCOc1ccccc1\C=N\NC(=O)c2nnn(c2N3CCCC3)c4nonc4N,LIMK1,5.0
CC[C@@H](CO)Nc1nc(NCc2ccccc2)c3ncn(C(C)C)c3n1,LIMK1,5.0
CC[C@H]1N(C2CCCC2)c3nc(Nc4ccc(cc4OC)C(=O)NC5CCCCC5)ncc3N(C)C1=O,LIMK1,5.0
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCC[C@H]4CCO,LIMK1,5.5
CN(C)CC(=O)N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,LIMK1,6.4
CN(CCCNC(=O)Nc1cc(cc(c1)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C)CCCNC(=O)Nc2cc(cc(c2)\C(=N\NC(=N)N)\C)\C(=N/NC(=N)N)\C,LIMK1,5.8
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,LIMK1,5.2
CN1C(=NC(=C(C1=O)c2cccc(C)c2)c3ccncc3)NC[C@@H](N)Cc4ccccc4,LIMK1,5.0
CN1CCC[C@H]1COc2cncc(CCc3ccccc3)c2,LIMK1,5.0
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2,LIMK1,6.5
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,LIMK1,6.1
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,LIMK1,7.8
CN1CC[C@H]([C@@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,LIMK1,5.5
CN1CC[C@H]1COc2cncc(CCc3ccncc3)c2,LIMK1,5.3
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3cc(F)c4[nH]c(C)cc4c3,LIMK1,7.1
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4OCOc4c3,LIMK1,6.6
CNC(=O)\C=C\c1cnc(N)c2c(csc12)c3ccc4sc(C)nc4c3,LIMK1,6
