cano_smiles,gene_name,stand_value
C(=C\c1ccc2nccn2n1)/c3ccccc3,PDGFRB,4.1
CC(C)NC1=NNC(=O)/C/1=C\c2cc3ccccc3[nH]2,PDGFRB,6.7
CCOc1ccc(\C=C/2\SC(=N)NC2=O)c(O)c1,PDGFRB,5.7
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCC[C@H]4CCO,PDGFRB,5.7
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,PDGFRB,5.7
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2,PDGFRB,7.2
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,PDGFRB,6.4
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,PDGFRB,8.4
CN1CC[C@H]([C@@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,PDGFRB,5.7
CN[C@H]1C[C@@H]2O[C@@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,PDGFRB,9.1
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,PDGFRB,6.0
COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\C(=O)NCCN(C)C)cnc(N)c45,PDGFRB,7.5
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1,PDGFRB,9.3
COc1ccc2[nH]cc(\C=C\3/C(=O)Nc4ccccc34)c2c1,PDGFRB,6.2
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3,PDGFRB,5.7
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(s2)c3ccncc3,PDGFRB,5.7
COc1cccc(c1)[C@@H](C)NC(=O)c2cnc(nc2)c3ccncc3,PDGFRB,5.7
COc1cccc(c1)[C@@H](C)NC(=O)c2sc(nc2C)c3ccncc3,PDGFRB,5.7
CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,PDGFRB,5.7
C[C@@H](N)C1CCC(CC1)C(=O)Nc2ccnc3[nH]ccc23,PDGFRB,5.7
C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2,PDGFRB,5.7
C[C@@H]1CCN(C[C@@H]1c2ncc3cnc4[nH]ccc4n23)C(=O)CC#N,PDGFRB,5.7
C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4,PDGFRB,9
C[C@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl,PDGFRB,5.7
Cc1cccc(Nc2nc(N[C@@H]3CCCC[C@@H]3N)cnc2C(=O)N)c1,PDGFRB,6.4
Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1,PDGFRB,6.6
N#CC[C@@H](C1CCCC1)n2cc(cn2)c3ncnc4[nH]ccc34,PDGFRB,5.7
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc3cncc(\C=C\c4ccncc4)c3,PDGFRB,5.7
N[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PDGFRB,6.3
N[C@H](COc1cncc(c1)c2ccc3NC(=O)\C(=C/c4ccc[nH]4)\c3c2)Cc5ccccc5,PDGFRB,8.5
O=C1Nc2ccccc2/C/1=C/c3c[nH]c4ccccc34,PDGFRB,6.4
O=C1Nc2ccccc2/C/1=C/c3ccc[nH]3,PDGFRB,6.8
O=C1Nc2ccccc2/C/1=C\c3ccc[nH]3,PDGFRB,6.9
OCC[C@@H](NC(=O)c1ccc(cc1)c2ccncc2)c3ccccc3,PDGFRB,5.7
O[C@@H]1CC[C@H](CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34,PDGFRB,5.7
O\N=C/1\C=C(Oc2c(CC=C)cccc12)c3ccccc3,PDGFRB,5.7
Oc1c(Br)cc(\C=N\NC(=O)Nc2ccccc2)cc1Br,PDGFRB,6.2
Oc1ccc(cc1)c2ccc3\C(=C\c4ccc[nH]4)\C(=O)Nc3c2,PDGFRB,7.4
Oc1nn2ccccc2c1Br,PDGFRB,5.7
[2H]C([2H])([2H])Oc1cccc(c1)[C@@H](C)NC(=O)c2sc(nc2C)c3ccncc3,PDGFRB,5.7
