cano_smiles,gene_name,stand_value
Brc1ccc2NC(=O)\C(=C\3/SC(=S)NC3=O)\c2c1,TBK1,5.8
CC(C)NC1=NNC(=O)/C/1=C\c2cc3ccccc3[nH]2,TBK1,5.5
CC(C)OC1=NNC(=O)/C/1=C/c2c[nH]c3ccccc23,TBK1,5.8
CC(C)Oc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)ncc2Cl)n[nH]1,TBK1,5.5
CCCOc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3F,TBK1,5.5
CCOC(=O)C1=C2S\C(=C\c3occc3)\C(=O)N2C(=C(C#N)C1c4occc4)N,TBK1,5.8
CCOc1ccc(\C=C/2\SC(=N)NC2=O)c(O)c1,TBK1,5.5
CC[C@@H]1C[C@@H](C[C@@H]1c2ncc3cnc4[nH]ccc4n23)NS(=O)(=O)C5CC5,TBK1,5.5
CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(nc12)N4CCCC[C@H]4CCO,TBK1,5.5
CCn1c(nc2cncc(C(=O)N3CC[C@H](N)C3)c12)c4nonc4N,TBK1,5.5
CN(C)CC(=O)N[C@H](COc1cncc(c1)c2ccc3cnccc3c2)Cc4c[nH]c5ccccc45,TBK1,7.1
CN1C(=NC(=C(C1=O)c2ccc3ccccc3c2)c4ccncc4)NC[C@@H](N)Cc5ccccc5,TBK1,5.5
CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(\C=C\c4ccccc4)n2,TBK1,6.8
CN1CCN(CC1)c2cc(Nc3cc(C)n[nH]3)nc(Sc4ccc(NC(=O)C5CC5)cc4)n2,TBK1,5.7
CN1CCN(CC1)c2ccc(Nc3ncc(F)c(N[C@@H]4[C@@H]5C[C@@H](C=C5)[C@@H]4C(=O)N)n3)cc2C,TBK1,7.1
CN1CC[C@H]([C@@H](O)C1)c2c(O)cc(O)c3C(=O)C=C(Oc23)c4ccccc4Cl,TBK1,5.5
CN[C@H]1C[C@@H]2O[C@@](C)([C@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35,TBK1,8.9
CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5,TBK1,5.5
COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(\C=C\C(=O)NCCN(C)C)cnc(N)c45,TBK1,5.6
COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C[C@H](O)CO)c5)cc1,TBK1,5.5
COc1ccc(\C=C/2\S\C(=N\c3ccccc3)\NC2=O)cc1O,TBK1,5.8
COc1ccc2[nH]cc(\C=C\3/C(=O)Nc4ccccc34)c2c1,TBK1,5.5
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(cc2)c3ccncc3,TBK1,5.5
COc1cccc(c1)[C@@H](C)NC(=O)c2ccc(s2)c3ccncc3,TBK1,5.5
COc1cccc(c1)[C@@H](C)NC(=O)c2cnc(nc2)c3ccncc3,TBK1,5.5
COc1cccc(c1)[C@@H](C)NC(=O)c2sc(nc2C)c3ccncc3,TBK1,5.5
CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,TBK1,5.5
