Exp,Pred
5.700057,6.323201
5.1,4.8772454
5.5999994,5.761039
8.300162,7.9489217
5.1,5.1222596
5.5999994,5.2436686
5.7000003,5.749568
5.1,5.190207
5.4999995,5.25428
5.1,5.2374372
6.3999968,6.1298943
5.1,5.0275364
5.4,5.297097
5.899998,5.8819427
5.1,5.4807386
6.8181562,7.5588427
5.1,5.101447
6.0,6.358768
5.4,5.729209
5.700057,5.9809747
5.2000003,4.942109
5.5999994,5.902387
5.899998,5.82489
6.5999975,5.7377133
5.8000007,5.5384126
7.318759,7.593396
6.3999968,5.676552
7.546682,7.7030406
5.5999994,5.70363
5.1,5.105327
5.2000003,5.405123
6.3999968,5.658198
7.500038,6.2495875
5.1,4.9454985
6.0,5.731817
5.8000007,5.5717688
5.1000156,5.328381
5.1,5.3014565
6.3999968,6.1060996
5.4999995,6.318968
5.4000077,5.42594
5.1,5.0061197
5.8000007,5.896619
5.5999994,5.53889
5.1,5.192685
5.2000003,5.2819695
5.4000077,5.5788593
4.69897,5.626249
5.8000007,5.9940414
5.7000003,5.3816023
7.7695513,7.502132
5.3000755,5.010477
5.8000007,5.421918
6.79588,6.8056216
5.2000003,5.28169
8.455932,7.6974173
4.7000003,5.81022
6.299998,6.128039
5.6001534,5.6859365
5.0,4.646383
5.1,5.4801903
5.8000007,5.706897
4.7000003,4.539484
5.4000077,5.648405
5.8000007,5.7145987
5.700057,5.8189077
5.1,5.0648913
5.0,5.322673
5.5999994,5.448446
5.800245,5.772126
5.0,5.536714
5.700057,5.723092
5.800245,5.952293
5.8000007,5.7497654
5.4,5.6754007
4.4,5.1031795
6.7999983,6.300978
7.1999707,5.8109436
5.8000007,5.6879272
5.1,5.3383236
5.4,5.7854714
4.5,5.0527806
5.4,5.6386147
5.0,4.9876847
5.288446,6.1837487
5.2000003,5.4833302
5.2000003,5.4622602
5.1,5.4857516
7.500038,7.0948615
7.0,6.3086386
5.5999994,6.3201137
6.6999917,6.6057687
5.8000007,5.5226674
5.7000003,5.7527084
5.8000007,6.036556
5.1,5.046938
5.899998,5.428418
5.4999995,5.768618
6.9000087,6.4741826
5.4,5.342834
5.5999994,5.76642
5.4,6.2147284
8.400117,6.148641
6.0,6.258369
6.299998,6.885686
7.318759,8.067833
7.1000156,6.1447935
5.4000077,5.0230885
6.099999,5.7839327
5.3,5.4315147
5.5999994,5.4709473
6.499997,6.076886
6.0,5.851339
4.1,5.374281
9.040958,5.396288
5.1000156,5.5276384
6.90309,5.994046
6.099999,6.0186076
5.4,5.5940585
5.8000007,5.664477
5.0,5.213814
5.1,5.261742
5.800245,5.850348
5.700057,5.9018946
5.7000003,5.4987144
5.899998,5.9281187
5.8000007,5.7793913
5.0,4.9968867
5.3,5.242959
5.4999995,5.718763
7.4000077,6.9178824
5.0,5.188974
5.0,5.162237
5.4,5.1840305
5.8000007,5.7928905
5.4,5.6731973
5.5999994,5.2827497
5.1,5.246165
6.6999917,5.9467444
8.30103,7.047919
5.2000003,5.3570185
6.5999975,6.3226795
5.899998,5.8111815
5.1000156,4.8917913
5.7000003,5.4135346
5.7000003,5.5960865
5.3,5.618679
5.4,5.780654
6.3999968,5.8028474
5.7000003,6.2182565
5.4,5.7357144
6.499997,7.9043016
5.3,5.1959596
5.0,5.541616
10.0,8.630795
5.1,5.019553
5.8000007,5.579695
6.1511955,5.6309466
5.2000003,5.058489
5.8000007,5.649612
5.4999995,5.3101983
5.0,5.254085
8.20066,7.829203
8.35164,7.7970243
5.1,5.223891
5.1000156,5.55753
5.899998,5.808363
7.0,6.0567756
5.1000156,5.284889
5.1,5.5489526
6.1999984,6.480598
5.1,5.767387
8.551293,9.010963
6.9000087,5.7325745
6.1999984,5.1174636
5.5999994,5.797867
5.3000755,5.3736405
5.0,5.206742
7.5999804,5.939226
6.3999968,5.6713943
5.4999995,5.221596
6.099999,6.6729627
5.1,5.7271934
6.9100947,7.152709
5.2000003,5.2493534
5.5999994,5.2930083
5.3,5.2167125
5.8000007,5.9957857
5.1,5.1278477
6.0,6.7628236
