Exp,Pred
5.8,5.3992124
5.8,5.3807406
5.8,5.458246
5.8,5.5950255
7.5,5.936218
5.8,5.402499
5.8,5.287653
5.8,5.621332
5.8,5.6497164
5.8,5.5280895
6.8,5.55866
7.2,5.4083266
7.6,6.2034526
5.8,5.6984024
5.9,5.5427394
5.9,5.427138
5.8,5.437415
8.1,7.398602
5.5,6.0720887
6.0,6.0847664
5.8,5.5455546
6.7,5.8262777
5.8,5.5225363
5.8,5.448995
5.8,5.515321
5.8,5.4864454
5.8,5.2898746
5.8,5.2934394
5.8,5.401443
5.8,5.905439
5.8,5.4383416
5.8,5.4486475
6.3,5.4148655
5.8,5.5225534
5.8,5.328158
5.8,5.6220655
5.8,5.599725
5.8,5.57039
5.8,5.545903
5.8,5.5772657
5.8,5.516496
5.8,5.467977
5.8,5.3856425
5.8,5.4679
5.8,5.567174
5.8,5.4915185
5.3,5.5889606
5.8,5.3822336
5.8,5.379135
5.8,5.921208
5.8,5.3700323
5.8,5.396361
5.8,5.4520264
5.8,5.396361
8.4,5.881789
5.8,5.6583657
5.8,6.0135703
6.1,5.509269
5.8,5.295506
5.8,5.5446744
5.8,5.4016247
6.4,5.5124755
5.8,5.3077936
5.8,5.5401773
7.0,5.8108616
5.9,5.9292116
5.8,5.7976236
5.8,5.863487
5.8,5.8784747
5.8,5.939155
5.8,5.871316
5.8,5.5150585
5.8,5.2423415
5.8,5.5123377
6.1,5.34413
5.8,5.394179
5.8,5.72999
5.8,5.4571447
5.8,5.420057
5.8,5.575419
5.8,5.4468083
5.8,5.4388123
5.8,5.492088
5.8,5.5261645
5.8,5.5477357
5.8,5.549555
5.8,5.463503
5.8,5.338319
5.8,5.380831
5.9,6.1057763
5.8,5.534365
5.8,5.5118566
6.4,5.4867716
6.3,5.4467587
5.8,5.4000816
5.8,5.332993
5.8,5.654509
5.8,5.2072043
5.9,5.99949
5.8,5.659903
6.9,5.9819255
5.8,5.5250826
5.8,5.7432055
5.8,5.457475
5.8,5.4940367
5.8,5.503399
5.8,5.4101114
5.8,5.325051
5.8,5.660721
6.4,5.93503
5.8,5.3269043
5.5,5.430359
5.1,5.447384
5.1,5.5140266
5.1,5.2499175
5.1,5.52489
5.1,5.4086967
5.1,5.456977
5.1,5.315635
5.1,5.5258064
5.1,5.5161443
5.1,5.5462885
5.1,5.3177705
5.1,5.264996
5.1,5.661669
5.1,5.7688317
5.2,5.743287
5.1,5.50309
5.1,5.4691424
5.1,5.3542967
5.1,5.361268
5.5,5.6879754
5.5,5.6107717
5.4,5.7163596
6.3,5.7387567
5.1,5.5854435
5.1,5.2407465
5.1,5.3878555
5.6,5.5316753
5.1,5.4749703
6.7,6.1405115
5.1,5.7650456
5.8,5.4153275
5.1,5.4797974
5.3,5.364196
5.1,5.3541875
5.1,5.6792216
8.5,7.465245
5.1,5.9910398
5.1,6.0037165
6.5,5.612198
5.1,5.8929214
5.1,5.58918
5.1,5.515639
5.1,5.581964
5.1,5.5530887
5.1,5.3565183
5.1,5.360083
5.1,5.4680862
5.1,5.9720826
5.1,5.5049853
5.1,5.5152907
5.1,5.433385
5.1,5.5891967
5.1,5.394801
7.4,5.6887093
6.7,5.666368
5.8,5.6370344
6.0,5.6125464
6.1,5.6439085
5.3,5.58314
6.1,5.534621
5.9,5.4354744
5.7,5.5345435
5.1,5.633817
5.1,5.6125464
5.1,5.3062778
5.1,5.5581617
5.6,5.655604
5.1,5.448877
5.1,5.5462956
5.1,5.445779
5.1,5.987851
5.1,5.436676
5.1,5.363935
5.1,5.565918
5.1,5.5278654
5.1,5.6040106
5.3,5.311148
5.4,5.428895
5.1,5.51867
5.1,5.6044626
5.1,5.498677
5.1,5.501715
5.1,5.363935
5.1,5.565918
5.1,5.7250094
5.1,5.3617153
6.2,5.825388
5.1,5.984498
5.1,5.4108424
5.1,5.326652
5.1,5.5122485
5.1,5.369199
5.1,5.5250225
5.1,5.374437
5.1,5.6068206
6.3,5.7410274
7.2,5.989027
5.1,5.5085554
8.1,5.9047403
7.8,5.970604
8.2,5.985592
7.7,6.046272
5.1,5.551464
5.1,5.3089848
5.1,5.578981
5.2,5.284494
5.1,5.29629
5.1,5.51854
5.1,5.3841186
5.1,5.460822
5.7,5.7966332
5.1,5.523788
5.1,5.4867005
5.6,5.6420627
5.1,5.4779544
5.1,5.350702
5.1,5.505455
6.0,5.5587316
5.1,5.592808
6.4,5.614379
5.5,5.6161985
5.1,5.41045
5.1,5.530146
5.1,5.404962
5.1,5.447474
7.5,6.212894
5.7,5.601009
6.0,5.5785
5.1,5.4238296
5.3,5.3838167
5.1,5.466726
5.1,5.399636
5.1,5.588468
5.1,5.360951
5.1,5.307839
5.1,5.2135725
7.5,6.0661335
5.5,5.726546
5.1,5.412532
5.9,5.9368806
5.1,5.5917263
6.3,5.8098493
5.7,5.524118
5.2,5.5606804
5.1,5.5055785
5.1,5.438501
5.1,5.391694
6.6,5.597779
6.7,5.9420443
5.1,5.4199877
5.3,5.393548
5.1,5.2680564
6.3,5.6751485
5.1,5.5861034
5.1,5.6527457
5.1,5.3886366
5.4,5.5731487
5.1,5.6636095
5.4,5.9467993
5.1,5.5474157
5.4,5.5434804
5.1,5.5956955
5.1,5.454355
5.1,5.664525
5.1,5.6548634
5.9,5.685008
5.1,5.4564896
5.1,5.418259
5.1,5.800388
5.4,5.745391
5.7,6.194779
5.5,5.8074455
5.2,5.641809
5.1,5.6078615
5.4,5.6398997
5.1,5.493016
5.1,5.4999876
5.5,5.6084
5.2,5.826695
5.4,5.465932
7.4,5.8072195
5.3,5.855079
5.3,5.2705803
6.1,5.9307885
5.3,5.7334523
5.1,5.3824563
5.1,5.526575
5.4,5.746205
5.4,5.768861
5.9,5.9037647
5.1,5.554047
5.4,5.812037
5.1,5.6163864
5.1,5.826724
8.8,7.6039643
6.8,6.2350354
6.3,6.2477136
7.0,5.7509165
5.3,6.0316405
5.1,5.7278986
5.1,5.7000265
6.5,5.720683
6.1,5.6918077
5.3,5.4952374
5.1,5.4988017
5.1,5.606805
5.7,6.652512
5.4,6.1362586
5.1,6.110801
5.1,5.6437044
5.5,5.65401
6.4,5.6024103
5.9,5.7279162
5.4,5.605881
5.1,5.5335207
7.2,5.827428
5.1,5.8404384
6.1,5.7757535
5.4,5.7512655
6.4,5.7826276
5.1,5.7218585
5.3,5.67334
6.0,5.5910053
5.8,5.8191695
5.4,5.5569096
5.6,5.673263
5.4,5.7359176
5.4,5.7725363
5.1,5.7512655
5.1,5.4449964
5.4,5.696881
5.9,5.7943234
5.4,5.5875964
5.3,5.6850147
5.2,5.5844984
5.1,6.12657
5.3,5.5753946
5.1,5.551129
6.7,6.363421
6.1,6.181807
5.5,5.449867
5.1,5.7769213
5.4,5.56583
5.9,5.743182
5.1,5.6373963
5.1,5.6404343
5.1,5.551129
6.7,6.363421
5.4,5.7614417
5.1,5.863729
6.5,6.0758605
7.0,6.2480993
6.6,5.683447
5.1,5.575963
5.1,5.700384
5.1,5.5947485
6.8,5.7000203
5.9,5.5131564
5.1,5.7455406
5.7,5.991514
6.4,6.1277466
8.1,6.337095
7.8,6.631761
7.8,6.514829
8.1,6.4786267
7.8,6.9161296
5.1,5.7230897
5.6,5.4477043
5.3,5.7177
5.4,5.4179287
5.5,5.5316753
5.5,6.2261357
5.1,5.4350095
5.1,5.65726
5.4,5.916602
5.1,5.5228376
5.1,5.599541
6.3,5.9353523
5.1,5.6625075
5.1,5.6254196
5.8,5.7807817
5.2,5.7396946
5.4,5.8508515
7.9,6.733041
5.1,5.489421
5.3,5.6441746
6.1,5.69745
5.1,5.731527
7.6,6.0392594
6.7,6.0326114
6.4,5.549169
5.1,5.668865
5.3,5.543681
5.2,5.586193
8.0,5.956317
7.9,5.9393435
8.3,7.0806613
6.8,5.946949
