SMILES,Name,SMILESCore,SMILESR1,SMILESR10,SMILESR2,SMILESR3,SMILESR4,SMILESR5,SMILESR6,SMILESR7,SMILESR8,SMILESR9
Nc1ncc(-c2cc(Cl)cc(Cl)c2)c(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000031,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]c1c(Cl)c([H])c([*:9])c([H])c1Cl
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3cccc4ccccc34)c2)n1,erk000036,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2cccc3ccccc23)c1,erk000037,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H]c(c([H])c([H]):[*:4])c([H]):[*:3],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccc(F)c(F)c3)c2)n1,erk000038,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],F[*:2],F[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccccc3C(F)(F)F)c2)n1,erk000039,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],FC(F)(F)[*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(Nc2ccccc2)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2ccccc2)c1,erk000040,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H]c1c([H])c([H])c([*:10])c([H])c1[H],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CCNc1ncc(C)c(-c2c[nH]c(C(=O)N[C@H](CO)c3ccccc3)c2)n1,erk000041,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H]OC([H])([H])[*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3cccc(C(F)(F)F)c3)c2)n1,erk000042,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],FC(F)(F)[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
Cc1cnc(N)nc1-c1c[nH]c(C(=O)NCc2cccc(C(F)(F)F)c2)c1,erk000043,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H][*:10].[H][*:10],[H][*:2],FC(F)(F)[*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
CNc1ncc(C)c(-c2c[nH]c(C(=O)NCc3ccccc3)c2)n1,erk000045,c1c(C(N(C(c2cc(-c3nc(N[*:10])ncc3[*:9])cn2[*:8])[*:7])[*:6])[*:5])c([*:4])c([*:3])c([*:2])c1[*:1],[H][*:1],[H]C([H])([H])[*:10].[H][*:10],[H][*:2],[H][*:3],[H][*:4],[H][*:5].[H][*:5],[H][*:6],O=[*:7],[H][*:8],[H]C([H])([H])[*:9]
